位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述
Level_01字段0,,,,Level_01字段1,,,,Level_01字段2,,,,Level_01字段3,,,,Level_02字段0,,,,Level_02字段1,,,,Level_02字段2,,,,Level_02字段3,,,,Level_03字段0,,,,Level_03字段1,,,,Level_03字段2,,,,Level_03字段3,,,,Level_04字段0,,,,Level_04字段1,,,,Level_04字段2,,,,Level_04字段3,,,,Level_05字段0,,,,Level_05字段1,,,,Level_05字段2,,,,Level_05字段3,,
bit0,ErrorCode_App_L1[0],单卷完成,,bit0,ErrorCode_App_L1[1],"""""",,bit0,ErrorCode_App_L1[2],"""""",,bit0,ErrorCode_App_L1[3],"""""",,bit0,ErrorCode_App_L2[0],吹气到料筒未完成，请减少吹气时间或降低运行速度,,bit0,ErrorCode_App_L2[1],"""""",,bit0,ErrorCode_App_L2[2],"""""",,bit0,ErrorCode_App_L2[3],"""""",,bit0,ErrorCode_App_L3[0],设备需要复位,,bit0,ErrorCode_App_L3[1],"""""",,bit0,ErrorCode_App_L3[2],"""""",,bit0,ErrorCode_App_L3[3],"""""",,bit0,ErrorCode_App_L4[0],”“,,bit0,ErrorCode_App_L4[1],"""""",,bit0,ErrorCode_App_L4[2],"""""",,bit0,ErrorCode_App_L4[3],"""""",,bit0,ErrorCode_App_L5[0],"""""",,bit0,ErrorCode_App_L5[1],"""""",,bit0,ErrorCode_App_L5[2],"""""",,bit0,ErrorCode_App_L5[3],""""""
bit1,ErrorCode_App_L1[0],"""""",,bit1,ErrorCode_App_L1[1],"""""",,bit1,ErrorCode_App_L1[2],"""""",,bit1,ErrorCode_App_L1[3],"""""",,bit1,ErrorCode_App_L2[0],电性测试未完成，请检查测试卡与运动卡的连接，调整测试时间或降低整机运行速度,,bit1,ErrorCode_App_L2[1],"""""",,bit1,ErrorCode_App_L2[2],"""""",,bit1,ErrorCode_App_L2[3],"""""",,bit1,ErrorCode_App_L3[0],定位1电机报警,,bit1,ErrorCode_App_L3[1],"""""",,bit1,ErrorCode_App_L3[2],"""""",,bit1,ErrorCode_App_L3[3],"""""",,bit1,ErrorCode_App_L4[0],"""""",,bit1,ErrorCode_App_L4[1],"""""",,bit1,ErrorCode_App_L4[2],"""""",,bit1,ErrorCode_App_L4[3],"""""",,bit1,ErrorCode_App_L5[0],"""""",,bit1,ErrorCode_App_L5[1],"""""",,bit1,ErrorCode_App_L5[2],"""""",,bit1,ErrorCode_App_L5[3],""""""
bit2,ErrorCode_App_L1[0],"""""",,bit2,ErrorCode_App_L1[1],"""""",,bit2,ErrorCode_App_L1[2],"""""",,bit2,ErrorCode_App_L1[3],"""""",,bit2,ErrorCode_App_L2[0],方向旋转未完成，请调整旋转电机速度或降低整机运行速度,,bit2,ErrorCode_App_L2[1],"""""",,bit2,ErrorCode_App_L2[2],"""""",,bit2,ErrorCode_App_L2[3],"""""",,bit2,ErrorCode_App_L3[0],定位2电机报警,,bit2,ErrorCode_App_L3[1],"""""",,bit2,ErrorCode_App_L3[2],"""""",,bit2,ErrorCode_App_L3[3],"""""",,bit2,ErrorCode_App_L4[0],"""""",,bit2,ErrorCode_App_L4[1],"""""",,bit2,ErrorCode_App_L4[2],"""""",,bit2,ErrorCode_App_L4[3],"""""",,bit2,ErrorCode_App_L5[0],"""""",,bit2,ErrorCode_App_L5[1],"""""",,bit2,ErrorCode_App_L5[2],"""""",,bit2,ErrorCode_App_L5[3],""""""
bit3,ErrorCode_App_L1[0],"""""",,bit3,ErrorCode_App_L1[1],"""""",,bit3,ErrorCode_App_L1[2],"""""",,bit3,ErrorCode_App_L1[3],"""""",,bit3,ErrorCode_App_L2[0],装填动作未完成，请调整装填电机速度或降低整机运行速度,,bit3,ErrorCode_App_L2[1],"""""",,bit3,ErrorCode_App_L2[2],"""""",,bit3,ErrorCode_App_L2[3],"""""",,bit3,ErrorCode_App_L3[0],装填电机报警,,bit3,ErrorCode_App_L3[1],"""""",,bit3,ErrorCode_App_L3[2],"""""",,bit3,ErrorCode_App_L3[3],"""""",,bit3,ErrorCode_App_L4[0],"""""",,bit3,ErrorCode_App_L4[1],"""""",,bit3,ErrorCode_App_L4[2],"""""",,bit3,ErrorCode_App_L4[3],"""""",,bit3,ErrorCode_App_L5[0],"""""",,bit3,ErrorCode_App_L5[1],"""""",,bit3,ErrorCode_App_L5[2],"""""",,bit3,ErrorCode_App_L5[3],""""""
bit4,ErrorCode_App_L1[0],"""""",,bit4,ErrorCode_App_L1[1],"""""",,bit4,ErrorCode_App_L1[2],"""""",,bit4,ErrorCode_App_L1[3],"""""",,bit4,ErrorCode_App_L2[0],封带动作未完成，请调整封带时间或降低整机运行速度,,bit4,ErrorCode_App_L2[1],"""""",,bit4,ErrorCode_App_L2[2],"""""",,bit4,ErrorCode_App_L2[3],"""""",,bit4,ErrorCode_App_L3[0],凸轮电机报警,,bit4,ErrorCode_App_L3[1],"""""",,bit4,ErrorCode_App_L3[2],"""""",,bit4,ErrorCode_App_L3[3],"""""",,bit4,ErrorCode_App_L4[0],设备需重启,,bit4,ErrorCode_App_L4[1],"""""",,bit4,ErrorCode_App_L4[2],"""""",,bit4,ErrorCode_App_L4[3],"""""",,bit4,ErrorCode_App_L5[0],"""""",,bit4,ErrorCode_App_L5[1],"""""",,bit4,ErrorCode_App_L5[2],"""""",,bit4,ErrorCode_App_L5[3],""""""
bit5,ErrorCode_App_L1[0],"""""",,bit5,ErrorCode_App_L1[1],"""""",,bit5,ErrorCode_App_L1[2],"""""",,bit5,ErrorCode_App_L1[3],"""""",,bit5,ErrorCode_App_L2[0],定位1未完成，请调整定位1电机速度或降低整机运行速度,,bit5,ErrorCode_App_L2[1],"""""",,bit5,ErrorCode_App_L2[2],"""""",,bit5,ErrorCode_App_L2[3],"""""",,bit5,ErrorCode_App_L3[0],"""""",,bit5,ErrorCode_App_L3[1],"""""",,bit5,ErrorCode_App_L3[2],"""""",,bit5,ErrorCode_App_L3[3],"""""",,bit5,ErrorCode_App_L4[0],"""""",,bit5,ErrorCode_App_L4[1],"""""",,bit5,ErrorCode_App_L4[2],"""""",,bit5,ErrorCode_App_L4[3],"""""",,bit5,ErrorCode_App_L5[0],"""""",,bit5,ErrorCode_App_L5[1],"""""",,bit5,ErrorCode_App_L5[2],"""""",,bit5,ErrorCode_App_L5[3],""""""
bit6,ErrorCode_App_L1[0],"""""",,bit6,ErrorCode_App_L1[1],"""""",,bit6,ErrorCode_App_L1[2],"""""",,bit6,ErrorCode_App_L1[3],"""""",,bit6,ErrorCode_App_L2[0],定位2未完成，请调整定位1电机速度或降低整机运行速度,,bit6,ErrorCode_App_L2[1],"""""",,bit6,ErrorCode_App_L2[2],"""""",,bit6,ErrorCode_App_L2[3],"""""",,bit6,ErrorCode_App_L3[0],"""""",,bit6,ErrorCode_App_L3[1],"""""",,bit6,ErrorCode_App_L3[2],"""""",,bit6,ErrorCode_App_L3[3],"""""",,bit6,ErrorCode_App_L4[0],"""""",,bit6,ErrorCode_App_L4[1],"""""",,bit6,ErrorCode_App_L4[2],"""""",,bit6,ErrorCode_App_L4[3],"""""",,bit6,ErrorCode_App_L5[0],"""""",,bit6,ErrorCode_App_L5[1],"""""",,bit6,ErrorCode_App_L5[2],"""""",,bit6,ErrorCode_App_L5[3],""""""
bit7,ErrorCode_App_L1[0],"""""",,bit7,ErrorCode_App_L1[1],"""""",,bit7,ErrorCode_App_L1[2],"""""",,bit7,ErrorCode_App_L1[3],"""""",,bit7,ErrorCode_App_L2[0],装填视觉未完成，请调整视觉参数，或降低整机运行速度,,bit7,ErrorCode_App_L2[1],"""""",,bit7,ErrorCode_App_L2[2],"""""",,bit7,ErrorCode_App_L2[3],"""""",,bit7,ErrorCode_App_L3[0],"""""",,bit7,ErrorCode_App_L3[1],"""""",,bit7,ErrorCode_App_L3[2],"""""",,bit7,ErrorCode_App_L3[3],"""""",,bit7,ErrorCode_App_L4[0],"""""",,bit7,ErrorCode_App_L4[1],"""""",,bit7,ErrorCode_App_L4[2],"""""",,bit7,ErrorCode_App_L4[3],"""""",,bit7,ErrorCode_App_L5[0],"""""",,bit7,ErrorCode_App_L5[1],"""""",,bit7,ErrorCode_App_L5[2],"""""",,bit7,ErrorCode_App_L5[3],""""""
bit8,ErrorCode_App_L1[0],"""""",,bit8,ErrorCode_App_L1[1],"""""",,bit8,ErrorCode_App_L1[2],"""""",,bit8,ErrorCode_App_L1[3],"""""",,bit8,ErrorCode_App_L2[0],补料失败，请检查并人工补料,,bit8,ErrorCode_App_L2[1],"""""",,bit8,ErrorCode_App_L2[2],"""""",,bit8,ErrorCode_App_L2[3],"""""",,bit8,ErrorCode_App_L3[0],"""""",,bit8,ErrorCode_App_L3[1],"""""",,bit8,ErrorCode_App_L3[2],"""""",,bit8,ErrorCode_App_L3[3],"""""",,bit8,ErrorCode_App_L4[0],"""""",,bit8,ErrorCode_App_L4[1],"""""",,bit8,ErrorCode_App_L4[2],"""""",,bit8,ErrorCode_App_L4[3],"""""",,bit8,ErrorCode_App_L5[0],"""""",,bit8,ErrorCode_App_L5[1],"""""",,bit8,ErrorCode_App_L5[2],"""""",,bit8,ErrorCode_App_L5[3],""""""
